date_only,time_only,price,bedrooms,bathrooms,sqft_living
2014-05-02,00:00:00,313000.0,3.0,1.5,1340
2014-05-02,00:00:00,2384000.0,5.0,2.5,3650
2014-05-02,00:00:00,342000.0,3.0,2.0,1930
2014-05-02,00:00:00,420000.0,3.0,2.25,2000
2014-05-02,00:00:00,550000.0,4.0,2.5,1940
2014-05-02,00:00:00,490000.0,2.0,1.0,880
2014-05-02,00:00:00,335000.0,2.0,2.0,1350
2014-05-02,00:00:00,482000.0,4.0,2.5,2710
2014-05-02,00:00:00,452500.0,3.0,2.5,2430
2014-05-02,00:00:00,640000.0,4.0,2.0,1520
2014-05-02,00:00:00,463000.0,3.0,1.75,1710
2014-05-02,00:00:00,1400000.0,4.0,2.5,2920
2014-05-02,00:00:00,588500.0,3.0,1.75,2330
2014-05-02,00:00:00,365000.0,3.0,1.0,1090
2014-05-02,00:00:00,1200000.0,5.0,2.75,2910
2014-05-02,00:00:00,242500.0,3.0,1.5,1200
2014-05-02,00:00:00,419000.0,3.0,1.5,1570
2014-05-02,00:00:00,367500.0,4.0,3.0,3110
2014-05-02,00:00:00,257950.0,3.0,1.75,1370
2014-05-02,00:00:00,275000.0,3.0,1.5,1180
2014-05-02,00:00:00,750000.0,3.0,1.75,2240
2014-05-02,00:00:00,435000.0,4.0,1.0,1450
2014-05-02,00:00:00,626000.0,3.0,2.25,1750
2014-05-02,00:00:00,612500.0,4.0,2.5,2730
2014-05-02,00:00:00,495000.0,4.0,1.75,1600
2014-05-02,00:00:00,285000.0,3.0,2.5,2090
2014-05-02,00:00:00,615000.0,3.0,1.75,2360
2014-05-02,00:00:00,698000.0,4.0,2.25,2200
2014-05-02,00:00:00,675000.0,5.0,2.5,2820
2014-05-02,00:00:00,790000.0,3.0,2.5,2600
2014-05-02,00:00:00,382500.0,4.0,1.75,1560
2014-05-02,00:00:00,499950.0,4.0,2.5,2860
2014-05-02,00:00:00,650000.0,4.0,2.0,1820
2014-05-02,00:00:00,625000.0,4.0,2.5,2820
2014-05-02,00:00:00,400000.0,4.0,2.5,3630
2014-05-02,00:00:00,604000.0,3.0,2.5,3240
2014-05-02,00:00:00,440000.0,2.0,1.0,800
2014-05-02,00:00:00,287200.0,3.0,3.0,1850
2014-05-02,00:00:00,403000.0,3.0,2.0,1960
2014-05-02,00:00:00,750000.0,3.0,2.5,2390
2014-05-02,00:00:00,335000.0,3.0,2.25,1580
2014-05-02,00:00:00,260000.0,4.0,2.0,1480
2014-05-02,00:00:00,308500.0,2.0,1.0,850
2014-05-02,00:00:00,439950.0,3.0,2.5,1770
2014-05-02,00:00:00,235000.0,2.0,1.0,1210
2014-05-02,00:00:00,315000.0,3.0,1.0,1160
2014-05-02,00:00:00,437500.0,3.0,2.25,1970
2014-05-02,00:00:00,407500.0,3.0,2.5,1930
2014-05-02,00:00:00,445700.0,3.0,2.5,1270
2014-05-02,00:00:00,838000.0,4.0,2.5,3310
2014-05-02,00:00:00,630000.0,4.0,2.75,2710
2014-05-02,00:00:00,550000.0,3.0,1.75,2910
2014-05-02,00:00:00,805000.0,3.0,2.0,2710
2014-05-02,00:00:00,284000.0,3.0,1.75,1800
2014-05-02,00:00:00,470000.0,5.0,2.5,2210
2014-05-02,00:00:00,430000.0,4.0,1.5,1920
2014-05-02,00:00:00,491500.0,4.0,1.75,2190
2014-05-02,00:00:00,785000.0,5.0,3.25,3660
2014-05-02,00:00:00,385000.0,3.0,3.25,1320
2014-05-02,00:00:00,295000.0,2.0,2.5,1630
2014-05-02,00:00:00,555000.0,4.0,2.5,3310
2014-05-02,00:00:00,459990.0,3.0,2.5,2680
2014-05-02,00:00:00,625000.0,4.0,3.25,2730
2014-05-02,00:00:00,300000.0,3.0,2.5,2540
2014-05-03,00:00:00,625000.0,4.0,2.75,2920
2014-05-03,00:00:00,553000.0,2.0,1.0,900
2014-05-03,00:00:00,379880.0,3.0,2.5,1650
2014-05-03,00:00:00,310000.0,3.0,1.0,1010
2014-05-04,00:00:00,775000.0,2.0,2.5,2680
2014-05-04,00:00:00,365000.0,3.0,2.5,2200
2014-05-04,00:00:00,331950.0,4.0,2.5,2530
2014-05-04,00:00:00,783500.0,3.0,2.5,2850
2014-05-04,00:00:00,628000.0,4.0,2.0,2280
2014-05-05,00:00:00,560000.0,3.0,2.5,1900
2014-05-05,00:00:00,900000.0,3.0,1.0,1330
2014-05-05,00:00:00,531000.0,2.0,3.0,1270
2014-05-05,00:00:00,831000.0,4.0,3.0,2170
2014-05-05,00:00:00,780000.0,4.0,2.5,2730
2014-05-05,00:00:00,755000.0,4.0,2.5,2120
2014-05-05,00:00:00,705380.0,3.0,2.5,2490
2014-05-05,00:00:00,627000.0,4.0,2.25,1990
2014-05-05,00:00:00,865000.0,4.0,3.0,3690
2014-05-05,00:00:00,580000.0,2.0,1.0,2540
2014-05-05,00:00:00,410000.0,3.0,2.25,1800
2014-05-05,00:00:00,485000.0,4.0,3.0,2340
2014-05-05,00:00:00,400000.0,2.0,1.75,2110
2014-05-05,00:00:00,549000.0,2.0,1.0,1140
